Country,Year,Sex,Age,Suicide,Suicides_100k_Pop,Population, GDP  ,generation
Albania,1987,Male,15-24 years,21,6.71,312900,"2,156,624,900",Generation X
Albania,1987,Male,35-54 years,16,5.19,308000,"2,156,624,900",Silent
Albania,1987,Female,15-24 years,14,4.83,289700,"2,156,624,900",Generation X
Albania,1987,Male,75+ years,1,4.59,21800,"2,156,624,900",G.I. Generation
Albania,1987,Male,25-34 years,9,3.28,274300,"2,156,624,900",Boomers
Albania,1987,Female,75+ years,1,2.81,35600,"2,156,624,900",G.I. Generation
Albania,1987,Female,35-54 years,6,2.15,278800,"2,156,624,900",Silent
Albania,1987,Female,25-34 years,4,1.56,257200,"2,156,624,900",Boomers
Albania,1987,Male,55-74 years,1,0.73,137500,"2,156,624,900",G.I. Generation
Albania,1987,Female,05-14 years,0,0,311000,"2,156,624,900",Generation X
Albania,1987,Female,55-74 years,0,0,144600,"2,156,624,900",G.I. Generation
Albania,1987,Male,05-14 years,0,0,338200,"2,156,624,900",Generation X
Albania,1988,Female,75+ years,2,5.49,36400,"2,126,000,000",G.I. Generation
Albania,1988,Male,15-24 years,17,5.33,319200,"2,126,000,000",Generation X
Albania,1988,Male,75+ years,1,4.48,22300,"2,126,000,000",G.I. Generation
Albania,1988,Male,35-54 years,14,4.46,314100,"2,126,000,000",Silent
Albania,1988,Male,55-74 years,4,2.85,140200,"2,126,000,000",G.I. Generation
Albania,1988,Female,15-24 years,8,2.71,295600,"2,126,000,000",Generation X
Albania,1988,Female,55-74 years,3,2.03,147500,"2,126,000,000",G.I. Generation
Albania,1988,Female,25-34 years,5,1.91,262400,"2,126,000,000",Boomers
Albania,1988,Male,25-34 years,5,1.79,279900,"2,126,000,000",Boomers
Albania,1988,Female,35-54 years,4,1.41,284500,"2,126,000,000",Silent
Albania,1988,Female,05-14 years,0,0,317200,"2,126,000,000",Generation X
Albania,1988,Male,05-14 years,0,0,345000,"2,126,000,000",Generation X
Albania,1989,Male,75+ years,2,8.89,22500,"2,335,124,988",G.I. Generation
Albania,1989,Male,25-34 years,18,6.35,283600,"2,335,124,988",Boomers
Albania,1989,Male,35-54 years,15,4.71,318400,"2,335,124,988",Silent
Albania,1989,Male,55-74 years,6,4.22,142100,"2,335,124,988",G.I. Generation
Albania,1989,Male,15-24 years,12,3.71,323500,"2,335,124,988",Generation X
Albania,1989,Female,35-54 years,7,2.43,288600,"2,335,124,988",Silent
Albania,1989,Female,15-24 years,5,1.67,299900,"2,335,124,988",Generation X
Albania,1989,Female,25-34 years,2,0.75,266300,"2,335,124,988",Boomers
Albania,1989,Female,55-74 years,1,0.67,149600,"2,335,124,988",G.I. Generation
Albania,1989,Female,05-14 years,0,0,321900,"2,335,124,988",Generation X
Albania,1989,Female,75+ years,0,0,37000,"2,335,124,988",G.I. Generation
Albania,1989,Male,05-14 years,0,0,349700,"2,335,124,988",Generation X
Albania,1992,Male,35-54 years,12,3.49,343800,"709,452,584",Boomers
Albania,1992,Male,15-24 years,9,3.41,263700,"709,452,584",Generation X
Albania,1992,Male,55-74 years,5,3.13,159500,"709,452,584",Silent
Albania,1992,Male,25-34 years,7,2.85,245500,"709,452,584",Boomers
Albania,1992,Female,15-24 years,7,2.39,292400,"709,452,584",Generation X
Albania,1992,Female,25-34 years,4,1.5,267400,"709,452,584",Boomers
Albania,1992,Female,35-54 years,2,0.62,323100,"709,452,584",Boomers
Albania,1992,Female,55-74 years,1,0.61,164900,"709,452,584",Silent
Albania,1992,Female,05-14 years,0,0,336700,"709,452,584",Millenials
Albania,1992,Female,75+ years,0,0,38700,"709,452,584",G.I. Generation
Albania,1992,Male,05-14 years,0,0,362900,"709,452,584",Millenials
Albania,1992,Male,75+ years,0,0,23900,"709,452,584",G.I. Generation
Albania,1993,Male,15-24 years,18,7.4,243300,"1,228,071,038",Generation X
Albania,1993,Male,55-74 years,7,4.24,165000,"1,228,071,038",Silent
Albania,1993,Male,75+ years,1,4.13,24200,"1,228,071,038",G.I. Generation
Albania,1993,Male,25-34 years,9,3.91,230100,"1,228,071,038",Boomers
Albania,1993,Female,15-24 years,10,3.51,285300,"1,228,071,038",Generation X
Albania,1993,Male,35-54 years,10,2.85,350300,"1,228,071,038",Boomers
Albania,1993,Female,25-34 years,7,2.67,261800,"1,228,071,038",Boomers
Albania,1993,Female,35-54 years,7,2.11,331200,"1,228,071,038",Boomers
Albania,1993,Female,55-74 years,2,1.18,169500,"1,228,071,038",Silent
Albania,1993,Female,05-14 years,1,0.29,340300,"1,228,071,038",Millenials
Albania,1993,Male,05-14 years,1,0.27,367000,"1,228,071,038",Millenials
Albania,1993,Female,75+ years,0,0,39300,"1,228,071,038",G.I. Generation
Albania,1994,Male,75+ years,2,8.13,24600,"1,985,673,798",G.I. Generation
Albania,1994,Male,55-74 years,11,6.42,171400,"1,985,673,798",Silent
Albania,1994,Female,75+ years,2,5.01,39900,"1,985,673,798",G.I. Generation
Albania,1994,Male,25-34 years,6,2.59,231400,"1,985,673,798",Boomers
Albania,1994,Male,35-54 years,9,2.48,362800,"1,985,673,798",Boomers
Albania,1994,Male,15-24 years,6,2.48,242200,"1,985,673,798",Generation X
Albania,1994,Female,15-24 years,6,2.12,282600,"1,985,673,798",Generation X
Albania,1994,Female,25-34 years,4,1.53,261100,"1,985,673,798",Boomers
Albania,1994,Female,35-54 years,2,0.58,342500,"1,985,673,798",Boomers
Albania,1994,Female,55-74 years,1,0.57,174600,"1,985,673,798",Silent
Albania,1994,Male,05-14 years,1,0.27,371800,"1,985,673,798",Millenials
Albania,1994,Female,05-14 years,0,0,344400,"1,985,673,798",Millenials
Albania,1995,Male,25-34 years,13,5.58,232900,"2,424,499,009",Generation X
Albania,1995,Male,55-74 years,9,5.06,178000,"2,424,499,009",Silent
Albania,1995,Female,75+ years,2,4.9,40800,"2,424,499,009",G.I. Generation
Albania,1995,Female,15-24 years,13,4.59,283500,"2,424,499,009",Generation X
Albania,1995,Male,15-24 years,11,4.56,241200,"2,424,499,009",Generation X
Albania,1995,Male,75+ years,1,3.98,25100,"2,424,499,009",G.I. Generation
Albania,1995,Male,35-54 years,14,3.72,375900,"2,424,499,009",Boomers
Albania,1995,Female,25-34 years,7,2.65,264000,"2,424,499,009",Generation X
Albania,1995,Female,35-54 years,8,2.24,356400,"2,424,499,009",Boomers
Albania,1995,Male,05-14 years,6,1.59,376500,"2,424,499,009",Millenials
Albania,1995,Female,55-74 years,2,1.11,180400,"2,424,499,009",Silent
Albania,1995,Female,05-14 years,2,0.57,348700,"2,424,499,009",Millenials
Albania,1996,Male,75+ years,2,7.87,25400,"3,314,898,292",G.I. Generation
Albania,1996,Male,15-24 years,17,6.98,243600,"3,314,898,292",Generation X
Albania,1996,Male,25-34 years,14,5.95,235300,"3,314,898,292",Generation X
Albania,1996,Female,15-24 years,16,5.56,287700,"3,314,898,292",Generation X
